"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.353832500E-1,-1.480833817E1,1.065650940E1,-1.318859863E1,2.251193474E1
7.453322500E-1,-1.487568283E1,1.066252136E1,-1.337442017E1,2.266826893E1
7.552802500E-1,-1.490334702E1,1.057128906E1,-1.347015381E1,2.270037331E1
7.652292500E-1,-1.487729263E1,1.065867615E1,-1.327554321E1,2.260931801E1
7.751772500E-1,-1.494198990E1,1.064677429E1,-1.335980225E1,2.269584061E1
7.851262500E-1,-1.498305893E1,1.069586182E1,-1.330819702E1,2.271566910E1
7.950742500E-1,-1.500637436E1,1.079444885E1,-1.325405884E1,2.274602104E1
8.050232500E-1,-1.486887741E1,1.069586182E1,-1.328707886E1,2.262811172E1
8.149712500E-1,-1.485787582E1,1.065759277E1,-1.337994385E1,2.265752977E1
8.249202500E-1,-1.482546616E1,1.065750122E1,-1.330282593E1,2.259074936E1
8.348682500E-1,-1.474514389E1,1.073678589E1,-1.333016968E1,2.259184063E1
8.448172500E-1,-1.483300400E1,1.072499084E1,-1.326428223E1,2.260496891E1
8.547652500E-1,-1.473740005E1,1.082412720E1,-1.350817871E1,2.273375424E1
8.647142500E-1,-1.460591507E1,1.073547363E1,-1.336508179E1,2.252129127E1
8.746632500E-1,-1.453768539E1,1.069963074E1,-1.353433228E1,2.256112906E1
8.846112500E-1,-1.446766281E1,1.052824402E1,-1.342126465E1,2.236710831E1
8.945592500E-1,-1.443616867E1,1.065196228E1,-1.351077271E1,2.245903483E1
9.045082500E-1,-1.446614456E1,1.054719543E1,-1.361279297E1,2.249046025E1
9.144572500E-1,-1.434176254E1,1.040715027E1,-1.364401245E1,2.236412317E1
9.244052500E-1,-1.424592972E1,1.026541138E1,-1.375299072E1,2.230403412E1
9.343542500E-1,-1.422152328E1,1.024581909E1,-1.379400635E1,2.230477851E1
9.443022500E-1,-1.424202347E1,1.022528076E1,-1.379510498E1,2.230911295E1
9.542512500E-1,-1.414807510E1,1.027476501E1,-1.392745972E1,2.235426043E1
9.641992500E-1,-1.413835526E1,1.033638000E1,-1.398242188E1,2.241075551E1
9.741482500E-1,-1.413656998E1,1.011953735E1,-1.408334351E1,2.237382871E1
9.840962500E-1,-1.404423904E1,1.019836426E1,-1.403973389E1,2.232400975E1
9.940452500E-1,-1.408928299E1,1.009014893E1,-1.420892334E1,2.241009824E1
1.003993250E0,-1.394565964E1,1.005819702E1,-1.435031128E1,2.239598589E1
1.013942250E0,-1.388695145E1,1.004966736E1,-1.458123779E1,2.250457131E1
1.023890250E0,-1.382046890E1,1.007174683E1,-1.457522583E1,2.246959396E1
1.033839250E0,-1.362459946E1,1.001330566E1,-1.456024170E1,2.231359763E1
1.043787250E0,-1.352111435E1,1.006108093E1,-1.456402588E1,2.227457592E1
1.053736250E0,-1.360830307E1,9.919067383E0,-1.472698975E1,2.237091945E1
1.063684250E0,-1.355504227E1,9.887786865E0,-1.492190552E1,2.245374722E1
1.073633250E0,-1.356807327E1,9.911727905E0,-1.491708374E1,2.246896414E1
1.083581250E0,-1.341009903E1,1.005564880E1,-1.502416992E1,2.250938717E1
1.093530250E0,-1.331537247E1,1.002230835E1,-1.520672607E1,2.256081396E1
1.103478250E0,-1.330903244E1,9.962570190E0,-1.550222778E1,2.273108479E1
1.113427250E0,-1.328268051E1,9.998092651E0,-1.548483276E1,2.271940809E1
1.123375250E0,-1.325890732E1,1.002638245E1,-1.520864868E1,2.253064497E1
1.133324250E0,-1.306394577E1,1.010501099E1,-1.546807861E1,2.262828721E1
1.143272250E0,-1.296841049E1,1.019703674E1,-1.551068115E1,2.264377307E1
1.153221250E0,-1.294661331E1,1.020657349E1,-1.552984619E1,2.264873200E1
1.163169250E0,-1.300279617E1,1.006513977E1,-1.560397339E1,2.266856265E1
1.173118250E0,-1.290398026E1,1.008706665E1,-1.570074463E1,2.268865359E1
1.183066250E0,-1.269987106E1,1.006979370E1,-1.596630859E1,2.275105449E1
1.193015250E0,-1.264448166E1,1.005268860E1,-1.587048340E1,2.264534627E1
1.202963250E0,-1.246696854E1,9.983230591E0,-1.601565552E1,2.261838675E1
1.212912250E0,-1.240874863E1,1.005044556E1,-1.610025024E1,2.267612304E1
1.222860250E0,-1.252168655E1,1.006658936E1,-1.627273560E1,2.286767979E1
1.232809250E0,-1.250115585E1,9.986572266E0,-1.611123657E1,2.270644109E1
1.242757250E0,-1.240867233E1,1.003329468E1,-1.628613281E1,2.280088317E1
1.252706250E0,-1.240591049E1,9.961700439E0,-1.618820190E1,2.269801691E1
1.262654250E0,-1.231323624E1,9.823745728E0,-1.639199829E1,2.273366171E1
1.272603250E0,-1.195171738E1,9.841018677E0,-1.645877075E1,2.259602468E1
1.282551250E0,-1.207436752E1,9.739395142E0,-1.672839355E1,2.281414736E1
1.292500250E0,-1.207500076E1,9.709899902E0,-1.684912109E1,2.289062431E1
1.302448250E0,-1.183736801E1,9.815307617E0,-1.679385376E1,2.277053072E1
1.312397250E0,-1.170706558E1,9.580261230E0,-1.697692871E1,2.273879720E1
1.322345250E0,-1.151178360E1,9.617233276E0,-1.719848633E1,2.282104883E1
1.332294250E0,-1.145633698E1,9.544494629E0,-1.760452271E1,2.307085292E1
1.342242250E0,-1.122374344E1,9.494613647E0,-1.732757568E1,2.272366573E1
1.352191250E0,-1.100304794E1,9.422653198E0,-1.711343384E1,2.242148691E1
1.362139250E0,-1.090647507E1,9.383239746E0,-1.773330688E1,2.283564231E1
1.372088417E0,-1.093018341E1,9.222625732E0,-1.777981567E1,2.281770322E1
1.382036417E0,-1.072722626E1,9.287078857E0,-1.778775024E1,2.275362115E1
1.391985417E0,-1.063832855E1,9.247299194E0,-1.781225586E1,2.271481973E1
1.401933417E0,-1.066160583E1,9.140045166E0,-1.820056152E1,2.298849069E1
1.411882417E0,-1.032827377E1,9.143554688E0,-1.799380493E1,2.267277767E1
1.421830417E0,-1.031306839E1,9.058639526E0,-1.829232788E1,2.286979644E1
1.431779417E0,-1.020927429E1,9.068679810E0,-1.862121582E1,2.309155503E1
1.441727417E0,-1.004026031E1,8.921646118E0,-1.873815918E1,2.305474368E1
1.451675417E0,-9.905395508E0,8.758666992E0,-1.903552246E1,2.317719187E1
1.461624417E0,-9.876991272E0,8.725891113E0,-1.886257935E1,2.301071559E1
1.471572417E0,-9.800102234E0,8.544082642E0,-1.895666504E1,2.298692022E1
1.481521417E0,-9.820682526E0,8.449752808E0,-1.905490112E1,2.304199177E1
1.491469417E0,-9.701461792E0,8.350006104E0,-1.919384766E1,2.307043022E1
1.501418417E0,-9.652458191E0,8.285583496E0,-1.936654663E1,2.317075682E1
1.511366417E0,-9.643203735E0,8.363647461E0,-1.933200073E1,2.316610087E1
1.521315417E0,-9.577846527E0,8.282897949E0,-1.946887207E1,2.322452415E1
1.531263417E0,-9.461887360E0,8.246917725E0,-1.966409302E1,2.332842726E1
1.541212417E0,-9.433990479E0,8.342605591E0,-1.987100220E1,2.352564500E1
1.551160417E0,-9.425003052E0,8.330810547E0,-1.982339478E1,2.347765038E1
1.561109417E0,-9.402111053E0,8.254531860E0,-1.978713989E1,2.341084991E1
1.571057417E0,-9.176879883E0,8.255630493E0,-1.999826050E1,2.350108470E1
1.581006417E0,-9.162960052E0,8.177505493E0,-2.000659180E1,2.347541583E1
1.590954417E0,-9.092365265E0,8.123291016E0,-2.020809937E1,2.360140341E1
1.600903417E0,-9.049930573E0,8.078933716E0,-2.006259155E1,2.344521259E1
1.610851417E0,-9.143920898E0,8.129379272E0,-2.011856079E1,2.354685935E1
1.620800417E0,-9.051296234E0,8.213577271E0,-2.026824951E1,2.366834919E1
1.630748417E0,-9.012489319E0,8.031066895E0,-2.022137451E1,2.355051987E1
1.640697417E0,-9.118629456E0,7.891204834E0,-2.034039307E1,2.364639734E1
1.650645417E0,-9.043704987E0,8.037414551E0,-2.029525757E1,2.362807890E1
1.660594417E0,-9.069725037E0,7.874008179E0,-2.010873413E1,2.342266222E1
1.670542417E0,-8.962368011E0,7.681564331E0,-2.024636841E1,2.343599592E1
1.680491417E0,-8.962368011E0,7.681564331E0,-2.024636841E1,2.343599592E1
1.690439417E0,-8.995674133E0,7.792861938E0,-2.049291992E1,2.369832520E1
