"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.325372083E-1,1.190061951E1,-1.981822205E1,-3.726989746E1,4.385694844E1
7.424842083E-1,1.199586487E1,-1.987809753E1,-3.702215576E1,4.369988047E1
7.524312083E-1,1.198199463E1,-1.976693726E1,-3.698547363E1,4.361450749E1
7.623782083E-1,1.200564194E1,-1.971533203E1,-3.718579102E1,4.376771423E1
7.723252083E-1,1.201241684E1,-1.983653259E1,-3.700570679E1,4.367159853E1
7.822712083E-1,1.210172653E1,-1.975531006E1,-3.698284912E1,4.364006404E1
7.922182083E-1,1.205813217E1,-1.974969482E1,-3.712847900E1,4.374897656E1
8.021652083E-1,1.220846176E1,-1.989320374E1,-3.743185425E1,4.411269438E1
8.121122083E-1,1.208129501E1,-1.988143921E1,-3.728948975E1,4.395151146E1
8.220592083E-1,1.202502823E1,-1.988752747E1,-3.707015991E1,4.375284915E1
8.320062083E-1,1.191538620E1,-1.974847412E1,-3.719699097E1,4.376750844E1
8.419532083E-1,1.204164505E1,-1.962901306E1,-3.715539551E1,4.371295900E1
8.519002083E-1,1.212907028E1,-1.970429993E1,-3.729873657E1,4.389270476E1
8.618472083E-1,1.204347229E1,-1.968696594E1,-3.724230957E1,4.381337096E1
8.717942083E-1,1.212071609E1,-1.969247437E1,-3.706430054E1,4.368601240E1
8.817412083E-1,1.200856400E1,-1.975328064E1,-3.693865967E1,4.357593698E1
8.916882083E-1,1.213237381E1,-1.965867615E1,-3.707385254E1,4.368213118E1
9.016352083E-1,1.205384445E1,-1.982142639E1,-3.718530273E1,4.382842513E1
9.115822083E-1,1.204607773E1,-1.967800903E1,-3.717526245E1,4.375308179E1
9.215282083E-1,1.215616989E1,-1.975616455E1,-3.707598877E1,4.373451094E1
9.314752083E-1,1.213463974E1,-1.981382751E1,-3.722567749E1,4.388152581E1
9.414222083E-1,1.202192688E1,-1.984657288E1,-3.709149170E1,4.375147926E1
9.513692083E-1,1.204507065E1,-1.971009827E1,-3.714929199E1,4.374518941E1
9.613162083E-1,1.206604385E1,-1.982890320E1,-3.688208008E1,4.357823594E1
9.712632083E-1,1.237796783E1,-1.984028625E1,-3.697119141E1,4.374608600E1
9.812102083E-1,1.221926880E1,-1.998098755E1,-3.689239502E1,4.369896113E1
9.911572083E-1,1.210619354E1,-1.995692444E1,-3.702191162E1,4.376597646E1
1.001104208E0,1.212730408E1,-1.987205505E1,-3.699148560E1,4.370743739E1
1.011051208E0,1.220457077E1,-1.983624268E1,-3.693832397E1,4.366769801E1
1.020998208E0,1.216427612E1,-2.002818298E1,-3.719378662E1,4.395993051E1
1.030945208E0,1.229014969E1,-1.996118164E1,-3.711798096E1,4.390035378E1
1.040892208E0,1.213989258E1,-1.991484070E1,-3.697235107E1,4.371421526E1
1.050838208E0,1.213475418E1,-1.975833130E1,-3.700375366E1,4.366831460E1
1.060785208E0,1.196558762E1,-1.984088135E1,-3.702236938E1,4.367484052E1
1.070732208E0,1.227367401E1,-1.988125610E1,-3.739300537E1,4.409245138E1
1.080679208E0,1.218371201E1,-1.980847168E1,-3.711199951E1,4.379633428E1
1.090626208E0,1.211812210E1,-1.981712341E1,-3.720043945E1,4.385704002E1
1.100573208E0,1.202699661E1,-1.974971008E1,-3.736676025E1,4.394285457E1
1.110520208E0,1.220055008E1,-1.990043640E1,-3.730557251E1,4.400666463E1
1.120467208E0,1.212142944E1,-1.986936951E1,-3.732443237E1,4.398674969E1
1.130414208E0,1.216646194E1,-1.978143311E1,-3.740292358E1,4.402620339E1
1.140361208E0,1.206865311E1,-1.984147644E1,-3.709643555E1,4.376622105E1
1.150308208E0,1.206541061E1,-1.990957642E1,-3.721337891E1,4.389534071E1
1.160255208E0,1.215811539E1,-2.007351685E1,-3.722998047E1,4.400951368E1
1.170202208E0,1.217062378E1,-1.995962524E1,-3.727429199E1,4.399867687E1
