"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.172985417E-1,-3.542444992E1,-2.668928528E1,-2.675979614E1,5.180054334E1
7.272455417E-1,-3.533877182E1,-2.672224426E1,-2.680911255E1,5.178451166E1
7.371935417E-1,-3.524580765E1,-2.666528320E1,-2.678421021E1,5.167879837E1
7.471405417E-1,-3.529550552E1,-2.672735596E1,-2.681301880E1,5.175965846E1
7.570875417E-1,-3.531604385E1,-2.676473999E1,-2.686135864E1,5.181801664E1
7.670345417E-1,-3.536889267E1,-2.679803467E1,-2.681039429E1,5.184486930E1
7.769815417E-1,-3.542203903E1,-2.682882690E1,-2.671133423E1,5.184594660E1
7.869285417E-1,-3.543280411E1,-2.677102661E1,-2.672357178E1,5.182972855E1
7.968755417E-1,-3.542792130E1,-2.677349854E1,-2.692504883E1,5.193184077E1
8.068225417E-1,-3.547894669E1,-2.659593201E1,-2.677807617E1,5.179927240E1
8.167695417E-1,-3.537664413E1,-2.678016663E1,-2.686444092E1,5.186889685E1
8.267165417E-1,-3.537626266E1,-2.684225464E1,-2.680990601E1,5.187251348E1
8.366635417E-1,-3.521387863E1,-2.685046387E1,-2.679483032E1,5.175835768E1
8.466105417E-1,-3.529698563E1,-2.683644104E1,-2.709863281E1,5.196544681E1
8.565575417E-1,-3.521535873E1,-2.671566772E1,-2.712100220E1,5.185939792E1
8.665055417E-1,-3.528600693E1,-2.668019104E1,-2.685031128E1,5.174817963E1
8.764525417E-1,-3.526172256E1,-2.682150269E1,-2.685168457E1,5.180535734E1
8.863995417E-1,-3.522934341E1,-2.684405518E1,-2.687545776E1,5.180733699E1
8.963465417E-1,-3.519127274E1,-2.675448608E1,-2.696795654E1,5.178319112E1
9.062935417E-1,-3.512563705E1,-2.659568787E1,-2.678814697E1,5.156302755E1
9.162405417E-1,-3.516090775E1,-2.665007019E1,-2.694311523E1,5.169571678E1
9.261875417E-1,-3.529465866E1,-2.672994995E1,-2.710739136E1,5.191352252E1
9.361345417E-1,-3.532917404E1,-2.662928772E1,-2.706378174E1,5.186248919E1
9.460815417E-1,-3.530226517E1,-2.672184753E1,-2.694284058E1,5.182879238E1
9.560285417E-1,-3.522529984E1,-2.662594604E1,-2.689852905E1,5.170390330E1
9.659755417E-1,-3.543098068E1,-2.666098022E1,-2.721850586E1,5.202892772E1
9.759225417E-1,-3.534408188E1,-2.656164551E1,-2.700628662E1,5.180795936E1
9.858695417E-1,-3.535832596E1,-2.658937073E1,-2.701519775E1,5.183653885E1
9.958186667E-1,-3.535293961E1,-2.668658447E1,-2.695529175E1,5.185163337E1
1.005765667E0,-3.517393112E1,-2.666088867E1,-2.738681030E1,5.194271647E1
1.015712667E0,-3.520694351E1,-2.656593323E1,-2.718740845E1,5.181151279E1
1.025659667E0,-3.521593094E1,-2.667219543E1,-2.696456909E1,5.175573193E1
1.035606667E0,-3.525551987E1,-2.658901978E1,-2.712283325E1,5.182254082E1
1.045553667E0,-3.524158859E1,-2.658784485E1,-2.706066895E1,5.177994654E1
1.055500667E0,-3.520801926E1,-2.665699768E1,-2.691372681E1,5.171604041E1
1.065447667E0,-3.531550980E1,-2.657945251E1,-2.688858032E1,5.173633423E1
1.075394667E0,-3.528737259E1,-2.657197571E1,-2.680285645E1,5.166876882E1
1.085341667E0,-3.512743759E1,-2.639631653E1,-2.691839600E1,5.152962683E1
1.095288667E0,-3.535688400E1,-2.664395142E1,-2.712777710E1,5.192230430E1
1.105235667E0,-3.532165909E1,-2.668244934E1,-2.688879395E1,5.179362841E1
1.115182667E0,-3.529367447E1,-2.672367859E1,-2.686627197E1,5.178411942E1
1.125130667E0,-3.513399887E1,-2.649159241E1,-2.679626465E1,5.151933757E1
1.135077667E0,-3.506636429E1,-2.661950684E1,-2.678488159E1,5.153327013E1
1.145024667E0,-3.516596603E1,-2.655212402E1,-2.657159424E1,5.145590421E1
1.154971667E0,-3.508660507E1,-2.653205872E1,-2.672778320E1,5.147226817E1
1.164918667E0,-3.500102615E1,-2.663838196E1,-2.683514404E1,5.152475309E1
1.174865667E0,-3.511103439E1,-2.671652222E1,-2.662255859E1,5.152977704E1
1.184812667E0,-3.514542007E1,-2.661909485E1,-2.674987793E1,5.156871854E1
1.194759667E0,-3.519475174E1,-2.651257324E1,-2.682278442E1,5.158535504E1
1.204706667E0,-3.516101456E1,-2.668176270E1,-2.678231812E1,5.162853832E1
1.214653667E0,-3.524216080E1,-2.658264160E1,-2.688253784E1,5.168479054E1
1.224600667E0,-3.512999344E1,-2.649568176E1,-2.675686646E1,5.149822806E1
1.234547667E0,-3.510369492E1,-2.647280884E1,-2.677117920E1,5.147596566E1
1.244494667E0,-3.517262650E1,-2.658384705E1,-2.679962158E1,5.159490571E1
1.254442667E0,-3.502612686E1,-2.649481201E1,-2.681445312E1,5.145696768E1
1.264389667E0,-3.516183853E1,-2.650776672E1,-2.653414917E1,5.141087101E1
1.274336667E0,-3.512804031E1,-2.639277649E1,-2.659442139E1,5.135972270E1
1.284283667E0,-3.512039566E1,-2.647227478E1,-2.671563721E1,5.145822378E1
