"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.181226667E-1,-1.822699356E1,-9.765319824E-1,-3.809936523E1,4.224616598E1
6.280686667E-1,-1.826114273E1,-1.030883789E0,-3.815057373E1,4.230837188E1
6.380156667E-1,-1.811484909E1,-9.995269775E-1,-3.794711304E1,4.206102946E1
6.479616667E-1,-1.835501480E1,-1.022674561E0,-3.782925415E1,4.205953995E1
6.579086667E-1,-1.830102921E1,-9.706115723E-1,-3.765408325E1,4.187719836E1
6.678546667E-1,-1.825575638E1,-9.172821045E-1,-3.758499146E1,4.179408607E1
6.778016667E-1,-1.826265335E1,-1.019287109E0,-3.761303711E1,4.182468188E1
6.877476667E-1,-1.837755203E1,-9.983978271E-1,-3.787213135E1,4.210735743E1
6.976936667E-1,-1.824991989E1,-9.669342041E-1,-3.792861938E1,4.210195609E1
7.076406667E-1,-1.821160507E1,-9.201202393E-1,-3.796789551E1,4.211971355E1
7.175866667E-1,-1.819092178E1,-9.131164551E-1,-3.781939697E1,4.197678173E1
7.275336667E-1,-1.824710464E1,-9.006652832E-1,-3.781344604E1,4.199553223E1
7.374796667E-1,-1.824710464E1,-9.006652832E-1,-3.781344604E1,4.199553223E1
7.474266667E-1,-1.826008987E1,-9.704437256E-1,-3.793322754E1,4.211059718E1
7.573726667E-1,-1.823611069E1,-9.944610596E-1,-3.795660400E1,4.212182894E1
7.673196667E-1,-1.821299362E1,-1.004638672E0,-3.769552612E1,4.187690444E1
7.772656667E-1,-1.822886276E1,-1.002578735E0,-3.799652100E1,4.215485986E1
7.872116667E-1,-1.822282791E1,-1.057174683E0,-3.774285889E1,4.192508166E1
7.971586667E-1,-1.835630417E1,-9.953613281E-1,-3.790780640E1,4.213011313E1
8.071046667E-1,-1.832678604E1,-1.064529419E0,-3.807385254E1,4.226845818E1
8.170516667E-1,-1.830346298E1,-9.886016846E-1,-3.794732666E1,4.214254016E1
8.269976667E-1,-1.822663498E1,-9.241638184E-1,-3.765863037E1,4.184778062E1
8.369446667E-1,-1.824190903E1,-1.005661011E0,-3.787551880E1,4.205155792E1
8.468906667E-1,-1.818763351E1,-1.178619385E0,-3.760903931E1,4.179257104E1
8.568376667E-1,-1.821773148E1,-1.052139282E0,-3.785830688E1,4.202670743E1
8.667836667E-1,-1.806563187E1,-1.048690796E0,-3.792190552E1,4.201830226E1
8.767296667E-1,-1.819202042E1,-1.034271240E0,-3.798318481E1,4.212768273E1
8.866766667E-1,-1.828218460E1,-8.912506104E-1,-3.805340576E1,4.222670117E1
8.966226667E-1,-1.837464523E1,-8.584136963E-1,-3.809973145E1,4.230784794E1
9.065696667E-1,-1.834447098E1,-8.972930908E-1,-3.809793091E1,4.229393680E1
9.165156667E-1,-1.850317001E1,-9.002227783E-1,-3.810104370E1,4.236587344E1
9.264626667E-1,-1.849668503E1,-9.280548096E-1,-3.798635864E1,4.226052633E1
9.364086667E-1,-1.839165115E1,-9.885559082E-1,-3.800088501E1,4.222910532E1
9.463556667E-1,-1.837813187E1,-9.834136963E-1,-3.776974487E1,4.201519322E1
9.563016667E-1,-1.823757553E1,-1.102066040E0,-3.796966553E1,4.213691032E1
9.662476667E-1,-1.826821518E1,-1.252487183E0,-3.799978638E1,4.218151461E1
9.761946667E-1,-1.801865005E1,-1.145767212E0,-3.812799072E1,4.218682506E1
9.861406667E-1,-1.824744034E1,-1.071456909E0,-3.810525513E1,4.226260246E1
9.960876667E-1,-1.835587692E1,-9.200286865E-1,-3.812414551E1,4.232298597E1
1.006033667E0,-1.813237381E1,-9.381561279E-1,-3.809234619E1,4.219822218E1
1.015980667E0,-1.823873520E1,-1.008270264E0,-3.810827637E1,4.226001418E1
1.025926667E0,-1.836546707E1,-1.043960571E0,-3.820040894E1,4.239872023E1
1.035872667E0,-1.828495407E1,-9.511108398E-1,-3.789224243E1,4.208403728E1
1.045820042E0,-1.817271805E1,-9.571990967E-1,-3.801748657E1,4.214846612E1
1.055766042E0,-1.809479141E1,-9.658813477E-1,-3.798294067E1,4.208394213E1
1.065713042E0,-1.826826096E1,-1.091506958E0,-3.801959229E1,4.219490660E1
1.075659042E0,-1.827366257E1,-1.011398315E0,-3.776403809E1,4.196513127E1
1.085606042E0,-1.836159134E1,-1.034042358E0,-3.794549561E1,4.216726120E1
1.095552042E0,-1.829505539E1,-9.760437012E-1,-3.792202759E1,4.211581519E1
1.105499042E0,-1.830653000E1,-1.008346558E0,-3.759268188E1,4.182529778E1
1.115445042E0,-1.832168961E1,-1.119430542E0,-3.783886719E1,4.205612090E1
1.125391042E0,-1.833305740E1,-9.950103760E-1,-3.816119385E1,4.234817299E1
1.135338042E0,-1.829626846E1,-9.466552734E-1,-3.800610352E1,4.219139131E1
1.145284042E0,-1.842308426E1,-9.585723877E-1,-3.817160034E1,4.239575412E1
1.155231042E0,-1.835376358E1,-1.026367188E0,-3.804736328E1,4.225536557E1
1.165177042E0,-1.816349411E1,-1.015151978E0,-3.825662231E1,4.236168319E1
1.175124042E0,-1.827025223E1,-1.052627563E0,-3.815795898E1,4.231949876E1
1.185070042E0,-1.841232681E1,-1.129486084E0,-3.819091797E1,4.241268363E1
1.195017042E0,-1.826534653E1,-1.072067261E0,-3.820913696E1,4.236402199E1
1.204963042E0,-1.831502151E1,-1.095169067E0,-3.817346191E1,4.235389714E1
1.214909042E0,-1.835433578E1,-1.216690063E0,-3.804278564E1,4.225654407E1
1.224856042E0,-1.834794235E1,-1.183471680E0,-3.803771973E1,4.224826287E1
1.234802042E0,-1.830961990E1,-1.174468994E0,-3.791101074E1,4.211729210E1
1.244749042E0,-1.825571060E1,-1.012237549E0,-3.796881104E1,4.214173947E1
1.254695042E0,-1.820187759E1,-1.047668457E0,-3.793740845E1,4.209100755E1
1.264642042E0,-1.830700302E1,-1.090332031E0,-3.812350464E1,4.230528087E1
1.274588042E0,-1.808664322E1,-1.064025879E0,-3.812670898E1,4.221261366E1
1.284535042E0,-1.812601089E1,-1.131286621E0,-3.806216431E1,4.217298225E1
1.294481042E0,-1.808279800E1,-9.395141602E-1,-3.780364990E1,4.191641941E1
1.304427042E0,-1.806517410E1,-1.063781738E0,-3.789672852E1,4.199576382E1
1.314374042E0,-1.813824844E1,-1.005722046E0,-3.789147949E1,4.202108699E1
1.324320042E0,-1.808603287E1,-9.493408203E-1,-3.790386963E1,4.200844160E1
1.334267042E0,-1.817679214E1,-8.506164551E-1,-3.786758423E1,4.201277492E1
1.344213042E0,-1.817551804E1,-8.706970215E-1,-3.809194946E1,4.221497581E1
1.354160042E0,-1.808478165E1,-1.003540039E0,-3.812097168E1,4.220515255E1
1.364106042E0,-1.818004227E1,-1.000228882E0,-3.801651001E1,4.215174288E1
1.374052042E0,-1.819730759E1,-9.406433105E-1,-3.797467041E1,4.212009504E1
1.383999042E0,-1.820569992E1,-9.659729004E-1,-3.794787598E1,4.210014138E1
1.393945042E0,-1.828458023E1,-1.025207520E0,-3.819357300E1,4.235712388E1
1.403892042E0,-1.829924393E1,-1.075454712E0,-3.816253662E1,4.233672321E1
1.413838042E0,-1.826022720E1,-1.084640503E0,-3.785794067E1,4.204564204E1
1.423785042E0,-1.838131332E1,-1.049804688E0,-3.788385010E1,4.212078902E1
1.433731042E0,-1.840424728E1,-9.324645996E-1,-3.805535889E1,4.228233849E1
1.443678042E0,-1.838438797E1,-1.014755249E0,-3.807189941E1,4.229048326E1
1.453624042E0,-1.840414047E1,-1.036529541E0,-3.816116333E1,4.237996185E1
1.463570042E0,-1.842502213E1,-1.187484741E0,-3.828659058E1,4.250593580E1
1.473517042E0,-1.832274246E1,-1.104660034E0,-3.819287109E1,4.237497572E1
1.483463042E0,-1.836646652E1,-1.071731567E0,-3.803808594E1,4.225365881E1
1.493410042E0,-1.839182663E1,-1.073410034E0,-3.804531860E1,4.227124038E1
1.503356042E0,-1.841731644E1,-1.077194214E0,-3.763980103E1,4.191792592E1
1.513303042E0,-1.837169266E1,-1.071411133E0,-3.778402710E1,4.202736866E1
1.523249042E0,-1.834058762E1,-1.011413574E0,-3.807229614E1,4.227173814E1
1.533196042E0,-1.834550095E1,-9.136962891E-1,-3.788424683E1,4.210235627E1
1.543142042E0,-1.847773361E1,-1.043930054E0,-3.827301025E1,4.251281858E1
1.553088042E0,-1.831212997E1,-1.018936157E0,-3.804931641E1,4.223887799E1
1.563035042E0,-1.832300949E1,-1.074295044E0,-3.811053467E1,4.230011394E1
1.572981042E0,-1.841679764E1,-1.043212891E0,-3.823461914E1,4.245177063E1
1.582928042E0,-1.829264450E1,-8.851623535E-1,-3.806311035E1,4.223984760E1
1.592874042E0,-1.831531906E1,-9.512634277E-1,-3.816900635E1,4.234653303E1
1.602821042E0,-1.834843826E1,-1.015563965E0,-3.817449951E1,4.236731016E1
1.612767042E0,-1.842470169E1,-1.015029907E0,-3.819604492E1,4.241978036E1
1.622714042E0,-1.836474228E1,-1.041503906E0,-3.816998291E1,4.237093443E1
