"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.116074583E-1,-1.190553665E1,-4.139456177E1,-2.215188599E1,4.843508645E1
7.215534583E-1,-1.201215744E1,-4.150599670E1,-2.227551270E1,4.861314796E1
7.314994583E-1,-1.207773972E1,-4.143821716E1,-2.239663696E1,4.862722474E1
7.414454583E-1,-1.204430771E1,-4.133996582E1,-2.237265015E1,4.852415478E1
7.513914583E-1,-1.217060471E1,-4.132023621E1,-2.208142090E1,4.840531673E1
7.613374583E-1,-1.200820541E1,-4.132884216E1,-2.213656616E1,4.839729076E1
7.712834583E-1,-1.205034256E1,-4.130596924E1,-2.237390137E1,4.849727119E1
7.812294583E-1,-1.200104141E1,-4.131895447E1,-2.222277832E1,4.842657194E1
7.911754583E-1,-1.212950516E1,-4.149913025E1,-2.222601318E1,4.861376728E1
8.011214583E-1,-1.214299393E1,-4.152751160E1,-2.255874634E1,4.879429841E1
8.110674583E-1,-1.201902390E1,-4.156634521E1,-2.225030518E1,4.865484632E1
8.210134583E-1,-1.205453110E1,-4.155354309E1,-2.240814209E1,4.872508076E1
8.309594583E-1,-1.193394089E1,-4.156568909E1,-2.223614502E1,4.862686089E1
8.409054583E-1,-1.194244766E1,-4.154542542E1,-2.244497681E1,4.870750879E1
8.508514583E-1,-1.194788742E1,-4.154301453E1,-2.247824097E1,4.872212420E1
8.607974583E-1,-1.183943558E1,-4.142970276E1,-2.235574341E1,4.854247386E1
8.707434583E-1,-1.195768356E1,-4.154129028E1,-2.225622559E1,4.862103014E1
8.806894583E-1,-1.194102859E1,-4.161122131E1,-2.213122559E1,4.861967759E1
8.906354583E-1,-1.183241653E1,-4.166329956E1,-2.228121948E1,4.870615313E1
9.005814583E-1,-1.197983932E1,-4.164477539E1,-2.258099365E1,4.886414986E1
9.105274583E-1,-1.191872787E1,-4.162950134E1,-2.270849609E1,4.889526819E1
9.204734583E-1,-1.190159988E1,-4.160368347E1,-2.255191040E1,4.879654927E1
9.304194583E-1,-1.184581375E1,-4.178761292E1,-2.239605713E1,4.886830539E1
9.403654583E-1,-1.190310287E1,-4.167575073E1,-2.248791504E1,4.882886831E1
